	texto	texto_modificado
9292	"4116	""hay que subir los montos de las pensiones básica solidaria."	subir monto pensión básico solidario
9293	"edad para jubilar debiera ser a los 60 años."""	edad jubilar  año
9294	"4117	""que sea pública y de calidad, ya que este es el único medio que permite atacar la ignorancia y hacernos crecer."	público calidad  único medio permitir atacar ignorancia crecer
9295	"-vuelta ed. cívica"""	vuelta ed  cívico
9296	"4118	se debe mejorar las condiciones que regulan la educación que reciben los niños de nuestro país"	mejorar condición regular educación recibir niño país
9297	"4119	""personas sin salud, cesantes."	persona salud  cesante
9298	mejores especialistas.	mejor especialista
9299	compromisos de parte de los especialistas,	compromiso parte especialista
9300	"mejor salud, de calidad."""	mejor salud  calidad
9301	"4120	Poco apoyo a los ciudadanos no poder vivir por los pocos ingresos (pensión-jubilación) se sienten con poco respaldo económico ingresos mínimos."	apoyo ciudadano vivir ingreso  pensiónjubilación  sentir respaldo económico ingreso mínimo
9302	"4121	la mucha demora de conseguir el sueño de una casa, y la desconformidad de que llega una persona de afuera y la obtiene de inmediato."	demora conseguir sueño casa  desconformidad llegar persona afuerar obtener inmediato
9303	"4122	""sin educación no hay progreso a los políticos no se convierte en una sociedad educada"	educación progreso político convertir sociedad educado
9304	"falta posibilidades de ingreso"""	faltar posibilidad ingreso
9305	"4123	la participante señala que es estado no avanza en estas materias, se siente confundido e inseguro"	participante señalar estado avanzar materia  sentir confunder inseguro
9306	"4124	los participantes manifiestan malestar debido a los altos costos que tienen los medicamentos, lo cual muchas veces no permite que las familias cubran sus necesidades o deban dejar otras cosas de lado"	participante manifestar malestar debido alto costo medicamento  vez permitir familia cubrir necesidad dejar cosa lado
9307	"4125	""- mejoras apuntan a todos las áreas: disponibilidad de horas y profesionales, mejoras en el trato a la gente. trato digno"	mejora apuntar área  disponibilidad hora profesional  mejora trato gente  trato digno
9308	- todo proceso es muy lento	proceso lento
9309	"- mas especialistas para discapacitados """	especialista discapacitado
9310	"4126	que no porque una persona tenga mejor ingreso no tengan que excluirla y tratarla peor que la vulnerable."	persona mejor ingreso excluir tratar peor vulnerable
9311	"4127	educacion publica y de calidad permitiendo el acceso a esto a cada chileno eliminando las brechas que se observan y poniendo fin al lucro"	educación publica calidad permitir acceso cada chileno eliminar brecha observar poner fin lucro
9312	"4128	crear nuevos planes y auges donde no se vean solamente las clases sociales  adinerados, buena salud y de calidad."	crear nuevo plan auge ver solamente clase social adinerado  buen salud calidad
9313	"4129	-ridiculo la solución que dieron se mejora 20.000 + o - y todo sube o sea seguimos igual."	ridiculo solución dar mejora    subir seguir igual
9314	"4130	""por que uno como trabajador debe administrar sus recursos económicos para mejorar sus pensiones"	trabajador administrar recurso económico mejorar pensión
9315	"por que es ilogico alargar pensiones por que es ilogico alargar pensiones hasta los 110 años"""	ilogico alargar pensión ilogico alargar pensión  año
9316	"4131	se hanla de una falta de agua tanto para consumo humano como para riego de cultivos. existe una mala distribución del recurso hacia las zonas rurales. además se constata un abuso del recurso hídrico por parte de empresas privadas. también, se expresa molestia acerca de que el agua se vea convertido"	hablar falta agua consumo humano riego cultivo  existir malo distribución recurso hacia zona rural  además constatar abuso recurso hídrico parte empresa privado   expresar molestia acerca agua ver convertido
9317	"4132	los participantes relvelaron que sin llegar a un proceso constituyente libre y soberano, con la adecuada representación de la ciudadanía no se puede avanzar mucho en la resolución de las necesidades de las personas."	participante relvelar llegar proceso constituyente libre soberano  adecuado representación ciudadanía avanzar resolución necesidad persona
9318	"4133	Los participante relevaron que sin llegar a un proceso constituyente libre y soberano, con la adecuada representacion de la ciudadania no se puede avanzar mucho en la resolucion de las necesidades de las personas."	participante relevar llegar proceso constituyente libre soberano  adecuado representación ciudadanía avanzar resolucion necesidad persona
9319	"4134	""es pésimo la atención y la espera para una hora médica e incluso no existe buen trato en atención para personas con capacidades diferentes."	pésimo atención espera hora médico incluso existir buen trato atención persona capacidad diferente
9320	"con la contingencia nacional lista de espera, negligencias y burocracia, se han acrecentado """	contingencia nacional lista espera  negligencia burocracia  acrecentar
9321	"4135	""el estado no toma en cuenta a las personas con discapacidad, porque no hay registros de ellos."	estado tomar cuenta persona discapacidad  registro
9322	"necesitamos visibilizarlos, que se nos cuente y se nos considere."""	necesitar visibilizar  contar considerar
9323	"4136	""hay niveles obscenos de riquezas."	nivel obsceno riqueza
9324	"falta crecer en un país de integración, un estado de bien estas, no en una cultura tan clasista de tanta exclusión."""	falta crecer país integración  estado bien  cultura clasista exclusión
9325	"4137	Mejorar las condiciones, casos de salud, mayor cantidad de profesionales, sistema de validación para convalidar los médicos."	mejorar condición  caso salud  mayor cantidad profesional  sistema validación convalidar médico
9326	"4138	""la dignidad y trato de las personas, además de la manera en que se abordan los temas medioambientales están condicionadas por elementos estructurales fuertemente vinculadas al modelo económico, por lo que sin modificar las estructuras económicas no habrán cambios realmente estructurales."	dignidad trato persona  además manera abordar tema medioambiental condicionado elemento estructural fuertemente vinculado modelo económico  modificar estructura económico cambio realmente estructural
9327	"el modelo"""	modelo
9328	"4139	- incorporar la asignatura de educ. civica, cambio de malla educativa que elimina las diferencias o brechas entre educación municipal y/o privada que toda la educación dependa 100% del ministerio de educación"	incorporar asignatura educ civica  cambio malla educativo eliminar diferencia brecha educación municipal yo privado educación depender   ministerio educación
9329	"4140	""-pensiones muy bajas."	pensión baja
9330	-aumentar la pensión básica solidaria.	aumentar pensión básico solidario
9331	"-eximir a los adultos mayores de pago de contribuciones. """	eximir adulto mayor pago contribución
9332	"4141	""-mejores atenciones primarias (espera)"	mejor atención primario  esperar
9333	-abastecer insumos	abastecer insumo
9334	-aumento de personal y de calidad	aumento personal calidad
9335	"-medicamentos accesibles al bolsillo de la gente """	medicamento accesible bolsillo gente
9336	"4142	ya que no puede existir personas que porque tengan mas dinero eviten o tengan  mas beneficios que la gente ''comun''"	existir persona dinero evitar beneficio gente   comun
9337	"4143	""la sociedad y el estado no solidariza con las psd, no hay apoyo y no hay prioridad en cuanto a """"beneficiar"""". respeto dentro de las oficinas y en la comunidad. que las ayudas tecnicas no sean postuladas, porque es un derecho"""	sociedad estado solidarizar psd  apoyo prioridad cuanto   beneficiar    respeto dentro oficina comunidad  ayuda tecnico postulado  derecho
9338	"4144	 genera los principios básicos para legislar las eyes , para mejorar la salud , educación ,etc."	generar principio básico legislar eye  mejorar salud  educación  etcétera
9339	"4145	la salud es cara, no hay horas para los especialistas, medicamentos con costos elevados, tardanza en las atenciones de urgencia, mala atención de los funcionarios"	salud cara  hora especialista  medicamento costo elevado  tardanza atención urgencia  malo atención funcionario
9340	"4146	 - salud, atención de mala calidad, los doctores que llegan a taltal, van sin experiencia. no tienen calidad y los retrasos"	salud  atención malo calidad  doctor llegar taltal  experiencia  calidad retraso
9341	"4147	se necesitan instancias para las personas en situación discap, ------- recibir beneficios por ---- ----- qu tengan mejores ------ de-------- l de recuros"	necesitar instancia persona situación discap   recibir beneficio   qu mejor  de l recuro
9342	"4148	""-falta de profesional en el hospital de pto aysen"	falta profesional hospital pto aysen
9343	"-demora en las horas médicas de los especialistas"""	demora hora médico especialista
9344	"4149	Se considera la educación como base del futuro para el país por lo cuál es urgente que asegure la educación gratis y de calidad en todos sus niveles"	considerar educación base futuro país cuál urgente asegurar educación gratis calidad nivel
9345	"4150	hoy la salud en chile esta cada vez mas deterioradas, las políticas públicas no cubren necesariamente las necesidades de salud del país, se tratan de hacer muchos esfuerzos pero no todas las personas tienen acceso, la salud no es entendida para mejorar la calidad de vida de las personas, sino más bi"	hoy salud chile cada vez deteriorado  política público cubrar necesariamente necesidad salud país  tratar esfuerzo persona acceso  salud entendido mejorar calidad vida persona  sino bar
9346	"4151	se considera la educacion como pilar base para el desarrollo del pais acuso a la educacion"	considerar educación pilar base desarrollo país acuso educación
9347	"4152	""- chile es un país muy rico pero existe mucha desigualdad, el dinero se lo llevan pocos"	chile país rico existir desigualdad  dinero llevar
9348	"- rebajar el sueldo a los políticos"""	rebajar sueldo político
9349	"4153	""- mala atención al público"	malo atención público
9350	- falta de horas medicas	falta hora medico
9351	- falta de profesionales en los hospitales	falta profesional hospital
9352	- mucha lista de espera	lista espera
9353	"- muchos años de espera"""	año espera
9354	"4154	sueldo minimo bajo, los bonos, horas extras no deberian ser imposible. muchos descuentos. mientra + uno gana, más descuento le hacen"	sueldo mínimo bajo  bono  hora extra imposible  descuento  mientra  ganar  descuento
9355	"4155	""contar con educación de calidad gratuita, accesible, y de libre acceso (laica)"	contar educación calidad gratuito  accesible  libre acceso  laico
9356	"derecho humano social básico"""	derecho humano social básico
9357	"4156	mejorar la atencion de los ciudadanos, que exista una salud de calidad para todas las personas"	mejorar atención ciudadano  existir salud calidad persona
9358	"4157	""mala calidad en la salud"	malo calidad salud
9359	solo los ricos tienen acceso a una buena atencion	sólo rico acceso buen atención
9360	"el sistema te discrimina por ser pobre"""	sistema discriminar pobre
9361	"4158	""-EDUCAR DE ACUARDO AL AVANCE CIENTIFICO"	educar acuardo avance cientifico
9362	-CREAR MAS TECNOLOGIA	crear mas tecnologia
9363	-INFRAESTRUCTURA	infraestructura
9364	-HERRAMIENTAS DE CALIDAD	herramienta calidad
9365	-MEJOR UTILIZACIÓN DE LOS RECURSO	mejor utilización recurso
9366	"-IMPLEMENTAR MAS CONTENIDOS EDUACION SEXUAL, CIVICA, INCORPORAR MAS OFICIOS"""	implementar mas contenido eduacion sexual  civica  incorporar mas oficio
9367	"4159	""- la salud es prioridad, debe mejorar el sistema publico e invertí mayores recursos"	salud prioridad  mejorar sistema público invertir mayor recurso
9368	"- darle importancia a la salud mental, nadie se preocupa de ella y es la primera para uno poder estar bien"""	dar importancia salud mental  nadie preocupar primero bien
9369	"4160	""-Abarca todo"	abarca
9370	-Reasignación de recursos mayor sustentabilidad	reasignación recurso mayor sustentabilidad
9371	".Desea cambios, pero no cree que los haya . porque no está en la necesidad de quienes podrían llevarlos a cabo y que no han hecho nada."""	desear cambio  creer  necesidad llevar cabo
9372	"4161	""-nosotros como pymes al aumentar el sueldo tenemos que disminuir personal"	nosotro pyme aumentar sueldo disminuir personal
9373	-chile tiene recursos para subsidiar el aumento de sueldos	chile recurso subsidiar aumento sueldo
9374	-pymes siempre han sido castigadas	pyme siempre castigar
9375	-todo sube menos los sueldos, por lo que subir los sueldos no sería una solución	todo subir menos sueldo  subir sueldo solución
9376	"-país se engaña solo.  los jaguares de américa """	país engañar sólo  jaguar américa
9377	"4162	""educación equitativa y universal para que todos"	educación equitativo universal
9378	los estudiantes del país tengan la posibilidad de	estudiante país posibilidad
9379	obtener todas las herramientas para acceder a	obtener herramienta acceder
9380	"la educación que deseen."""	educación desear
9381	"4163	""-Cuando nos llevan a médico"	cuando llevar médico
9382	-Tenemos que esperar mucho.	tener esperar
9383	-Los doctores nos miran feo	doctor mirar feo
9384	"-Los remedios son caros."""	remedio caro
9385	"4164	""el sistema no funciona, obliga a seguir trabajando. no se puede escoger un sistema."	sistema funcionar  obligar seguir trabajar  escoger sistema
9386	"debería haber una pensión mínima, quienes trabajaron deberían estar sobre la línea de la pobreza. (no menos al sueldo mínimo"""	pensión mínimo  trabajar línea pobreza   menos sueldo mínimo
9387	"4165	por la calidad de la atención, los planes, porque el costo es una de los mayores gastos para una familia."	calidad atención  plan  costo mayor gasto familia
9388	"4166	""para terminar con la violencia."	terminar violencia
9389	"el comercio se ha visto afectado y existe aumento en el desempleo."""	comercio ver afectado existir aumento desempleo
9390	"4167	""- presidente debiera tener mayor decisión sobre parlamento"	presidente mayor decisión parlamento
9391	"- parlamentarios mejoren leyes de trabajo, seguridad y salud """	parlamentario mejorar ley trabajo  seguridad salud
9392	"4168	""-rebajar los años de estimación de vida, ser opcional jubilarse a partir de los 50"	rebajar año estimación vida  opcional jubilar partir
9394	-pensiones heredables en cualquier caso	pensión heredable cualquiera caso
9395	"-menos ganancia para las afp + pata el trabajador"""	menos ganancia afp  pata trabajador
9396	"4169	""la realidad de la salud sea vista por el estado"	realidad salud ver estado
9397	los beneficios sea mas a tiempo oportuno	beneficio tiempo oportuno
9398	"todos tenganigual calidad de salud de cali"""	tenganigual calidad salud cali
9399	"4170	hay un mal servicio y los altos costos no permiten tener derecho a una salud digna."	mal servicio alto costo permitir derecho salud digno
9400	"4171	""- ya que siguen con el mismo discurso;"	seguir mismo discurso
9401	ya que se encuentran amarrados a empresas privadas.	encontrar amarrado empresa privado
9402	"-politicos con hojas en blancos para su trabajo social."""	politico hoja blanco trabajo social
9403	"4172	""con las pensiones que recibe un adulto mayor son indignas."	pensión recibir adulto mayor indigno
9404	han trabajado toda su vida como apra recibir una miseria.	trabajar vida apra recibir miseria
9405	". evaluar y cambiar el calculo de los años en las que cala desglosoces."""	evaluar cambiar calculo año calar desglosoz
9406	"4173	señalan que deb mejorarse el sistema de pensionesque existe en chile para evitar que los adultos mayores caigan bajo la linea de pobreza."	señalar deb mejorar sistema pensionesque existir chile evitar adulto mayor caer bajo linea pobreza
9407	"4174	falta de respeto a las fuerzas armadas hace que nos sintamos inseguros. fué malo quitarle atribuciones a los carabineros."	falta respeto fuerza armado sintar inseguro  malo quitar atribución carabinero
9408	"4175	medicamentos caros , y en farmacia comunal no hay insumos necesarios para la ciudadanía, lista de espera son extensas, no hay medicos, ni horas a corto plazo"	medicamento caro  farmacia comunal insumo necesario ciudadanía  lista espera extenso  medico  hora corto plazo
9409	"4176	""- salud de calidad para todos con acceso para todos con especialistas y tecnología."	salud calidad acceso especialista tecnología
9410	"- al alcance de toos en relación con el costo."""	alcance toos relación costo
9411	"4177	""pensiones de miseria"	pensión miseria
9412	le descuentan el 7%	descontar
9413	"se requiere mejorar la calidad de vida de los adultos mayores"""	requerir mejorar calidad vida adulto mayor
9414	"4178	""-pocos médicos en el sector rural (no van a postas)"	poco médico sector rural  posta
9415	-no hay accesibilidad para personas mayores con discapacidad	no accesibilidad persona mayor discapacidad
9416	"-falta accesibilidad para ingreso de ambulancia en calles del lugar donde viven"""	falto accesibilidad ingreso ambulancia calle lugar vivir
9417	"4179	no estan de acuerdo a el sistema previsional , por que no representan el trabajo que han realizado durante años"	acuerdo sistema previsional  representar trabajo realizar año
9418	"4180	""-  el sector de mayor vulnerabilidad y la clase media esta profundamente expuesta a las exigencia de ahorro que no se puede financiar"	sector mayor vulnerabilidad clase medio profundamente expuesto exigencia ahorro financiar
9419	"- mala calidad de las viviendas en cuanto a superficie y materialidad"""	malo calidad vivienda cuanto superficie materialidad
9420	"4181	la educacion deberia ser igual, los niños del sector de caleta camarones tienen problemas de traslado y nadie ayuda"	educación igual  niño sector caleta camarón problema traslado nadie ayuda
9421	"4182	incertidumbre y abandono al no saber lo que se viene, incertidumbre económica, se sienten ignorados, hay que fortalecer las ffaa"	incertidumbre abandono saber venir  incertidumbre económico  sentir ignorado  fortalecer ffaa
9422	"4183	la educación es la base de todo, no puede haber tanta diferencia entre educación pública y privada."	educación base  diferencia educación público privado
9423	"4184	""fortalecer a los especialistas en la salud publica."	fortalecer especialista salud publica
9424	acotar de manera efectiva las listas de espera.	acotar manera efectivo lista espera
9425	mejorar la atención dando prioridad a los a.m y a los niños.	mejorar atención dar prioridad am niño
9427	"4185	""- muchos profesionales extranjeros porque para el chileno no tiene facilidades para estudiar."	profesional extranjero chileno facilidad estudiar
9428	- sin stock medicamentos	stock medicamento
9430	"- horario para alcanzar hora médica"""	horario alcanzar hora médico
9431	"4186	""buena salud, de calidad."	buen salud  calidad
9432	mejorar el acceso a los medicamentos, menores listas de espera, mayor cantidad de profesionales en centros de salud, además de especialistas	mejorar acceso medicamento  menor lista espera  mayor cantidad profesional centro salud  además especialista
9433	"mejorar acceso a salud dental (horas y financiado)"""	mejorar acceso salud dental  hora financiar
9434	"4187	mejorar la educación, ya que es la base de toda la sociedad. se observa bajo involucramiento y bajo nivel de responsabilidad. también: existen varias externalidades negativas asociadas a la educación de mercado que no son debidamente internalizadas. falta una visión de más largo plazo"	mejorar educación  base sociedad  observar bajo involucramiento bajo nivel responsabilidad   existir varios externalidad negativo asociado educación mercado debidamente internalizado  faltar visión largo plazo
9435	"4188	diferenciar el iva, el pan y los libros no pueden tener igual iva que un televisor"	diferenciar iva  pan libro igual iva televisor
9436	"4189	""- se necesitan mejores leyes que ayuden a cambiar el"	necesitar mejor ley ayudar cambiar
9437	sistema de pensiones.	sistema pensión
9438	"- aumento de pensiones"""	aumento pensión
9439	"4190	""universidades públicas sin psu , gratuitas"	universidad público psu  gratuito
9440	- institutostecnicos y cft gratuitos.	institutostecnico cft gratuito
9441	"- que la admisión se  valide con actitudes y no através de una prueba, no mas psu."""	admisión valedar actitud através prueba  psu
9442	"4191	""es prioridad ya que si no tienes dinero te mueres"	prioridad si dinero morir
9443	profesionales si vocación escases de posibilidad en estudio carreras de salud(son muy caras)	profesional si vocación escase posibilidad estudio carrera salud cara
9445	"4192	se necesita que en nuestros hospitales existan mas especialistas para terminar con las largas horas de espera."	necesitar hospital existir especialista terminar largo hora espera
9446	"4193	""modificar psu, para que el ingreso a las casas de estudio seaa mas parcial"	modificar psu  ingreso casa estudio parcial
9447	mas posibilidad para financiamiento a personas vulnerables, regulacion de aranceles	posibilidad financiamiento persona vulnerable  regulacion arancel
9448	"mejora infraestructura de jardines"""	mejorar infraestructura jardín
9449	"4194	dificultad para conseguir hora consultorios de zonas rurales, derivan todo a capital regional y los hospitales se colapsan , falta abastecer las comunas, calidad, inteligencia en la atencion."	dificultad conseguir hora consultorio zona rural  derivar capital regional hospital colapsar  faltar abastecer comuna  calidad  inteligencia atención
9450	"4195	""generar más especialistas disponibles en el sistema."	generar especialista disponible sistema
9451	"disminuir los costos de tratamientos para que todos tengamos acceso a una buena y digna salud. (acceso a información)"""	disminuir costo tratamiento acceso buen digno salud   acceso información
9452	"4196	atención expedita mayor cantidad de profeso profesionales de vocación que no sea un negocio mayor cantidad de especialistas."	atención expedito mayor cantidad profeso profesional vocación negocio mayor cantidad especialista
9453	"4197	""los herederos deberian poder sacar la plata, si el titular muere."	heredero sacar plata  si titular morir
9454	"los montos son insuficientes para vivir"""	monto insuficiente vivir
9455	"4198	""- un mejor sistema de salud"	mejor sistema salud
9456	. mejores infraestructura hospitalarias	mejor infraestructura hospitalario
9457	- mejor atención de sus profesionales médicos, enfermeros	mejor atención profesional médico  enfermero
9458	"- eliminar listas de espera, mas profesionales de la salud"""	eliminar lista espera  profesional salud
9459	"4199	un problema que se arrastra desde hace muchos años, las pensiones solidarias son miserables pero se pueden mejorar. las pensiones se pueden mejorar por decreto"	problema arrastrar año  pensión solidario miserable mejorar  pensión mejorar decreto
9460	"4200	atencion: mejorar la atención al publico, mas especialistas mayor vocación de los profesionales que atienden el sector público y el privado."	atención  mejorar atención público  especialista mayor vocación profesional atender sector público privado
9461	"4201	que la atención sea más expedita y no haya que esperar tanto por la atención porque en la espera la condición se agrava y cuando atienden no hay más solución que amputar las extremidades. si atendieran a tiempo no habrían amputados."	atención expedito esperar atención espera condición agravar atender solución amputar extremidad  si atender tiempo amputar
9462	"4202	""acceso a tener un hospital, ya que implica un costo para viajar par ir a otro lugar."	acceso hospital  implicar costo viajar par lugar
9463	"por el hecho de ya ser comuna tener un hospital"""	hecho comuna hospital
9464	"4203	- se observa una disminucion de las fuentes laborales tanto en la comuna como en el pais"	observar disminucion fuente laboral comuna país
9465	"4204	-escuchar las demandas sociales que pide la cioudadanía, con urgencia se de modificar la reforma de pensiones"	escuchar demanda social pedir cioudadanía  urgencia modificar reforma pensión
9466	"4205	""las listas de espera para realizarse examenes complejos es muy larga y la atención de urgencias también."	lista espera realizar examen complejo largo atención urgencia
9467	la gente se muere esperando hora para examenes importantes. (tenemos familiares que han pasado por eso)	gente morir esperar hora examen importante   familiar pasar
9468	"- faltan especialistas en la atención pública (nosotros vamos a talca a pedir hora)"""	faltar especialista atención público  talca pedir hora
9469	"4206	""-Por que no hay espacios hospitalarios, no te atienden."	por espacio hospitalario  atender
9470	-Listas de esperas (+ de 2 año)	listas espera    año
9471	-Se pierden los insumos y los examenes	se perder insumo examen
9472	-Los medicos no cumplen su horario	los medico cumplir horario
9474	"4207	""que se den señales claras al pueblo, pero este se debería comportar y dar respeto a la autoridad."	dar señal claro pueblo  comportar dar respeto autoridad
9475	"no destruir el país."""	destruir país
9476	"4208	""-que se apliquen los leyes actuales."	que aplicar ley actual
9477	-que los carabineros les otorguen más autoridad.	que carabinero otorgar autoridad
9478	"-que los jueces tengan un criterio unificado"""	que juez criterio unificado
9479	"4209	"""""" seguro de salud"""""	seguro salud
9480	- ya que no tenemos salud, en previsión	salud  previsión
9481	"- nuestro familia esta abandonada"""	familia abandonado
9482	"4210	""-falta de medicamentos en los consultorias"	falta medicamento consultoria
9483	-falta de medicamentos en los hospitales	falta medicamento hospital
9485	"4211	""- falta de medicamentos en los consultorios."	falta medicamento consultorio
9486	- falta de medicamentos en los hospitales.	falta medicamento hospital
9487	"- mala atención de los profesionales"""	malo atención profesional
9488	"4212	""-Garantizar el derecho a la salud, por ejemplo con un plan de salud transversal y único."	garantizar derecho salud  ejemplo plan salud transversal único
9489	-Salud mental garantizada para todos los ciudadanos, son necesidades prioritarias.	salud mental garantizado ciudadano  necesidad prioritario
9490	"-Estrategias nacionales de enfermedades raras, enfermos postrados, etc."""	estrategias nacional enfermedad raro  enfermo postrado  etc
9491	"4213	""· porque el sistema está colapsado. mala atención, falta de vocación."	· sistema colapsado  malo atención  falta vocación
9492	· falta de profesionales especialistas (en las provincias sobre todo).	· falta profesional especialista  provincia
9493	"· sector público."""	· sector público
9494	"4214	""más recursos para los hospitales sector publico."	recurso hospital sector público
9495	consultorio, postas rurales	consultorio  posta rural
9496	-más especialistas profesionales	más especialista profesional
9497	-más horas medicas con especialistas	más hora medico especialista
9498	"-rebaja en medicamentos"""	rebaja medicamento
9499	"4215	""No hay especialista, y hoy carencias y deficiencias con la salud primaria."	especialista  hoy carencia deficiencia salud primario
9500	"hay pocas horas médicas"""	hora médico
9501	"4216	""-listas esperas muy largas, tiempo espera muy largas."	lista espera largo  tiempo esperar largo
9502	-hospitales mal equipados, necesidad de más especialistas en pueblos pequeños	hospital mal equipado  necesidad especialista pueblo pequeño
9503	-sin plata la gente se muere	sin plata gente morir
9504	-igualdad salud pública y privada	igualdad salud público privado
9505	"-modificar tramas de fonasa"""	modificar trama fonasa
9506	"4217	""-falta de insumos en esta comuna"	falta insumo comuna
9507	-médico no realiza examinación adecuada, sino un trámite burocratico	médico realizar examinación adecuado  sino trámite burocratico
9508	"-no hay atención para enfermedades crónicas /falta de médicos buenos"""	no atención enfermedad crónico falto médico buen
9509	"4218	""-mejorar sistema salud pùblico"	mejorar sistema salud pùblico
9510	-destinar especialistas a al zona	destinar especialista zona
9511	-coordinar fondos especialistas cada cierto tiempo a la provincia	coordinar fondo especialista cada cierto tiempo provincia
9512	"-mejorar en el sistema de hora para pacientes deribados al hospital regional"""	mejorar sistema hora paciente deribado hospital regional
9513	"4219	""ser honesto, transparente y humilde y no a la reelección."	honesto  transparente humilde reelección
9514	"-ampliacion de transparencia de los recursos utilizados."""	ampliacion transparencia recurso utilizado
9515	"4220	""mejorar la fiscalizacion sobre hora en salud, calidad de profesionales chilenos y extranjeros"	mejorar fiscalizacion hora salud  calidad profesional chileno extranjero
9516	"salud gratis pero educacion no"""	salud gratis educación
9517	"4221	trabajar toda la vida y al final no hay nada. mejorar el sistema del afp. que no halla perdidas. traspaso de perdida a nosotros se creo el 2008 se modifico la ley."	trabajar vida final  mejorar sistema afp hallar perdido  traspaso perdido creer  modifico ley
9518	"4222	incrementar el financiamiento a los hospitales y consultorios para la calidad de vida de las personas mas necesitados"	incrementar financiamiento hospital consultorio calidad vida persona necesitado
9519	"4223	es el gran problema de nuestro pais. en el sistema de salud privado no es tema, pero las listas de espera en hospitales es enorme y no siempre hay medicamentos."	gran problema país  sistema salud privado tema  lista espera hospital enorme siempre medicamento
9520	"4224	salud igualitaria para todos donde todos tengan derecho a una salud gratuita fin a las listas de esperas"	salud igualitario derecho salud gratuito fin lista espera
9521	"4225	el país necesita imperiosamente la seguridad, pues se entiende en el grupo como una base del desarrollo"	país necesitar imperiosamente seguridad  pues entender grupo base desarrollo
9522	"4226	""generar seguridad en todo el país."	generar seguridad país
9523	encontrar los que generan la violencia.	encontrar generar violencia
9524	"respetar las ffaa y de orden."""	respetar ffaa orden
9525	"4227	""- debido a la mala atención"	debido malo atención
9527	"- farmacias con precios elevados"""	farmacia precio elevado
9528	"4228	""- el pueblo mapuche necesita el reconocimiento del gobierno con los justos derechos"	pueblo mapuche necesitar reconocimiento gobierno justo derecho
9529	"- no quiere mas abusos y maltrato del pueblo mapuche"""	querer abuso maltrato pueblo mapuche
9530	"4229	- que se apliquen sanciones más severas a los delincuencias, que los fiscales y jueces apliquen mayores sentencias."	aplicar sanción severo delincuencia  fiscal juez aplicar mayor sentencia
9531	"4230	""conocer la constitución actual para poder saber qué es lo que está mal y que es lo que se quiere cambiar."	conocer constitución actual saber mal querer cambiar
9532	"realizar el cambio de constitución enfocado a la verdaderas necesidades del pueblo."""	realizar cambio constitución enfocar verdadero necesidad pueblo
9533	"4231	""- son muy altos"	alto
9534	- sin asistencia no justifican su trabajo	asistencia justificar trabajo
9535	"- permanente en el tiempo"""	permanente tiempo
9536	"4232	de nada nos sirve luchar por cuestiones sociales si no hay un mundo en el que vivir"	servir luchar cuestión social si mundo vivir
9537	"4233	muchos opinaron que con el sueldo que recibieron les alcanzaba para lo básico y un poco más, imaginándose a las personas de mayores necesidades."	opinar sueldo recibir alcanzar básico  imaginar persona mayor necesidad
9538	"4234	""- se requiere mayor dotación de personal medico en hospitales públicos y centros de atención en general"	requerir mayor dotación personal médico hospital público centro atención general
9539	"- garantizar derechos humanos en el acceso universal a la salud """	garantizar derecho humano acceso universal salud
9540	"4235	""- las clases sociales existen sin embargo, los mas beneficiados son las personas más pobres. la clase media no es beneficiada en nada"	clase social existir embargo  beneficiado persona pobre  clase medio beneficiado
9541	"el sistema es vulnerable las personas engañadas"""	sistema vulnerable persona engañado
9542	"4236	base esencial para poder realizar cualquier actividad del país. se necesita recuperar la seguridad pública en nuestras ciudades."	base esencial realizar cualquiera actividad país  necesitar recuperar seguridad público ciudad
9543	"4237	- Lo importante sería mejorar la atención en urgencia, centros sapu y otros, aumentar cantidad en el ges (enfermedades patológicas)"	importante mejorar atención urgencia  centro sapu  aumentar cantidad ges  enfermedad patológico
9544	"4238	salud mas digna para las personas porque el pobre no puede acceder a buenos medicos, ni a tratamientos de calidad"	salud digno persona pobre acceder buen medico  tratamiento calidad
9545	"4239	existen muchas tomas y gente asinada a causa de la nula o pocas viviendas en cada región"	existir toma gente asinado causa nulo vivienda cada región
9546	"4240	""- Mejorar y dar más aportes económicos"	mejorar dar aporte económico
9547	- personal idóneo con vocación	personal idóneo vocación
9548	"- más especialidades y hospitales publicos y cesfam"""	especialidad hospital público cesfam
9549	"4241	""necesita arreglar pensiones para generaciones que vienen, para tener una vida digna."	necesitar arreglar pensión generación venir  vida digno
9550	"estandarizar las comisiones en afp. no solo se deben perjudicar a las personas las afp nunca pierden"""	estandarizar comisión afp sólo perjudicar persona afp nunca perder
9551	"4242	""- las personas deben tener una atención medica eficaz y para todes."	persona atención medico eficaz tod
9552	"- igualitaria para todo sector social"""	igualitario sector social
9553	"4243	Los chilenos trabajamos mucho y el esfuerzo tiene grandes costos familiares, sin embargo, los sueldos no compensan el esfuerzo ni el costo"	chileno trabajar esfuerzo grande costo familiar  embargo  sueldo compensar esfuerzo costo
9554	"4244	a raís de esto, las pensiones se han ido al suelo, la falta de equidad que entregue y asegure las mismas oportunidades a las personas a las herramientas para superarse y acceder a mejoras en su calidad de vida."	raís  pensión suelo  falta equidad entregar asegurar mismo oportunidad persona herramienta superar acceder mejora calidad vida
